date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:56	46341/46341	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:27:55%20GMT	https://www.apple.com/uk/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/index.html	(from )
19:27:56	1388/1388	---M-Z	200	added ('OK')	text/plain	date:Fri,%2001%20Apr%202022%2014:55:56%20GMT	https://www.apple.com/robots.txt		(from )
19:27:56	116297/116297	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202022%2018:27:55%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/styles/ac-globalnav.built.css	(from https://www.apple.com/uk/)
19:27:56	80101/80101	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202022%2018:27:55%20GMT	https://www.apple.com/ac/localnav/6/styles/ac-localnav.built.css	D:/user%20files/Documents/Project/apple/www.apple.com/ac/localnav/6/styles/ac-localnav.built.css	(from https://www.apple.com/uk/)
19:27:57	45456/45456	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202022%2018:27:56%20GMT	https://www.apple.com/ac/globalfooter/7/en_GB/styles/ac-globalfooter.built.css	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalfooter/7/en_GB/styles/ac-globalfooter.built.css	(from https://www.apple.com/uk/)
19:27:57	11847/11847	---M--	200	added ('OK')	image/png	date:Tue,%2003%20May%202016%2020:25:50%20GMT	https://www.apple.com/ac/structured-data/images/open_graph_logo.png?202209050149	D:/user%20files/Documents/Project/apple/www.apple.com/ac/structured-data/images/open_graph_logo3971.png	(from https://www.apple.com/uk/)
19:27:57	49270/49270	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202022%2018:27:56%20GMT	https://www.apple.com/uk/home/built/styles/main.built.css	D:/user%20files/Documents/Project/apple/www.apple.com/uk/home/built/styles/main.built.css	(from https://www.apple.com/uk/)
19:27:57	5248/5248	---M-Z	200	added ('OK')	text/css	date:Tue,%2013%20Sep%202022%2018:27:56%20GMT	https://www.apple.com/uk/home/built/styles/overview.built.css	D:/user%20files/Documents/Project/apple/www.apple.com/uk/home/built/styles/overview.built.css	(from https://www.apple.com/uk/)
19:27:57	4259/4259	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2013%20Sep%202022%2018:27:56%20GMT	https://www.apple.com/uk/home/built/scripts/head.built.js	D:/user%20files/Documents/Project/apple/www.apple.com/uk/home/built/scripts/head.built.js	(from https://www.apple.com/uk/)
19:27:58	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/bag	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/bag	(from https://www.apple.com/uk/)
19:27:58	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/bag	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/bag	(from https://www.apple.com/uk/)
19:27:58	134486/134486	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:27:57%20GMT	https://www.apple.com/uk/shop/bag	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/bag.html	(from https://www.apple.com/uk/)
19:27:59	67413/67413	---M-Z	200	added ('OK')	text/html	etag:%220a41d40857f3e479efec9d9618a81621%22	https://www.apple.com/uk/search	D:/user%20files/Documents/Project/apple/www.apple.com/uk/search.html	(from https://www.apple.com/uk/)
19:27:59	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/store	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/store	(from https://www.apple.com/uk/)
19:27:59	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/store	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/store	(from https://www.apple.com/uk/)
19:28:00	232693/232693	---M-Z	200	added ('OK')	text/html	etag:%22218655ec128c1827ef75b08b09b67f45%22	https://www.apple.com/uk/store	D:/user%20files/Documents/Project/apple/www.apple.com/uk/store.html	(from https://www.apple.com/uk/)
19:28:00	151326/151326	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:27:59%20GMT	https://www.apple.com/uk/mac/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/mac/index.html	(from https://www.apple.com/uk/)
19:28:00	0/-1	---M--	303	error ('See%20Other')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/goto/buy_accessories	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/goto/buy_accessories.e.delayed	(from https://www.apple.com/uk/)
19:28:00	113779/113779	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:27:59%20GMT	https://www.apple.com/uk/ipad/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/ipad/index.html	(from https://www.apple.com/uk/)
19:28:00	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.apple.com/uk/shop/go/buy_accessories	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/go/buy_accessories	(from https://www.apple.com/uk/)
19:28:01	416538/416538	---M-Z	200	added ('OK')	text/html	etag:%228ed3b6a88d3a550027e62470675272a8%22	https://www.apple.com/uk/shop/accessories/all	D:/user%20files/Documents/Project/apple/www.apple.com/uk/shop/accessories/all.html	(from https://www.apple.com/uk/)
19:28:01	100956/100956	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2013%20Sep%202022%2018:28:00%20GMT	https://www.apple.com/ac/globalnav/7/en_GB/scripts/ac-globalnav.built.js	D:/user%20files/Documents/Project/apple/www.apple.com/ac/globalnav/7/en_GB/scripts/ac-globalnav.built.js	(from https://www.apple.com/uk/)
19:28:01	145429/145429	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Sep%202022%2018:28:00%20GMT	https://www.apple.com/uk/iphone/	D:/user%20files/Documents/Project/apple/www.apple.com/uk/iphone/index.html	(from https://www.apple.com/uk/)
19:28:01	327299/327299	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2013%20Sep%202022%2018:28:00%20GMT	https://www.apple.com/metrics/ac-analytics/2.15.1/scripts/ac-analytics.js	D:/user%20files/Documents/Project/apple/www.apple.com/metrics/ac-analytics/2.15.1/scripts/ac-analytics.js	(from https://www.apple.com/uk/)
